ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2010-01-08,한,거,,53,오문식,정완모,455
2,부경,2010-01-08,한,거,,54,김상석,오영복,405
3,부경,2010-01-08,한,암,,50,임금만,유종훈,478
4,부경,2010-01-08,한,암,,53,방동석,김원구,422
5,부경,2010-01-08,한,암,,53,윤주혁,김봉겸,458
6,부경,2010-01-08,한,암,,51.5,유충열,이원재,493
7,부경,2010-01-08,한,암,,51,윤주혁,김용부,455
8,부경,2010-01-08,한,수,,55,김상석,오공학,464
9,부경,2010-01-08,한,수,,53,김재섭,김규성,489
10,부경,2010-01-08,한,수,,56,김길중,김용부,468
11,부경,2010-01-08,한,수,,54,유충열,강용익,500
12,부경,2010-01-08,한,수,,53,유병복,전성연,470
13,부경,2010-01-08,한,수,,53,백광열,김욱수,463
14,부경,2010-01-08,한,수,,55,임금만,이성기,416
15,부경,2010-01-08,한,수,,53,김영관,김경태,476
16,부경,2010-01-08,미,수,,50,최기홍,이남일,454
17,부경,2010-01-08,호,수,,50,조용배,김훈,471
18,부경,2010-01-08,미,수,,54,김성현,남석우,491
19,부경,2010-01-08,미,수,,52.5,최기홍,부건영,502
20,부경,2010-01-08,한,수,,52.5,김재섭,조태만,485
21,부경,2010-01-08,한,수,,51,김길중,박원선,492
22,부경,2010-01-08,한,수,,50,강형곤,김원구,445
23,부경,2010-01-08,한,수,,51.5,양귀선,조용희,437
24,부경,2010-01-08,호,수,,50,강형곤,이성민,468
25,부경,2010-01-08,호,수,,58,김재섭,윤지중,506
26,부경,2010-01-08,한,수,,53,백광열,이종훈,467
27,부경,2010-01-08,한,수,,54,방동석,김원식,430
28,부경,2010-01-08,한,수,,52,김성현,임동철,417
29,부경,2010-01-08,한,수,,54,윤주혁,서귀포시축협,462
30,부경,2010-01-08,한,수,,53,유병복,범한산업,488
31,부경,2010-01-08,한,수,,53,양귀선,김호종,503
32,부경,2010-01-08,미,수,,53,방동석,김원구,456
33,부경,2010-01-08,미,수,,53,김재섭,송문관,488
34,부경,2010-01-08,뉴,수,,53,김재섭,김규성,499
35,부경,2010-01-08,호,수,,56,백광열,박웅진,505
36,부경,2010-01-08,호,수,,55,오문식,백영일,482
37,부경,2010-01-08,한,수,,53,김상석,송문관,476
38,부경,2010-01-08,호,수,,55,백광열,박웅진,476
39,부경,2010-01-08,호,수,,57,김상석,김봉겸,453
40,부경,2010-01-08,한,수,,57,강병은,김정두,490
41,부경,2010-01-08,한,수,,55,김창옥,이영선,468
42,부경,2010-01-08,한,수,,57,강병은,이성님,494
43,부경,2010-01-08,한,수,,54,김창옥,현길림,449
44,부경,2010-01-08,한,수,,54,윤주혁,최순자,483
45,부경,2010-01-08,한,수,,56,김길중,박호익,490
46,부경,2010-01-08,한,수,,52,한상복,김영민,502
47,부경,2010-01-08,한,수,,56,문제복,김용구,481
48,부경,2010-01-08,한,수,,54,이정표,김중길,495
49,부경,2010-01-08,한,수,,54,백광열,이혜란,487
50,부경,2010-01-08,한,수,,54,오문식,박은주,479
51,부경,2010-01-08,한,수,,54,강병은,이성님,482
52,부경,2010-01-08,한,암,,57,백광열,고재완,476
53,부경,2010-01-08,미,암,,51,고홍석,강성호,472
54,부경,2010-01-08,일,암,,51,백광열,박웅진,411
55,부경,2010-01-08,한,암,,51,강병은,이원재,479
56,부경,2010-01-08,한,암,,53,강병은,나현문,459
57,부경,2010-01-08,한,암,,53,백광열,박웅진,490
58,부경,2010-01-08,한,암,,53,김상석,김봉겸,434
59,부경,2010-01-08,한,거,,54,김영관,김경태,497
60,부경,2010-01-08,한,거,,56,김병학,이혜란,431
61,부경,2010-01-08,미,거,,53,이정표,김경태,446
62,부경,2010-01-08,한,거,,56,임한,임일성,451
63,부경,2010-01-08,한,암,,53,강형곤,최원길,436
64,부경,2010-01-08,호,수,,54.5,김상석,이종훈,511
65,부경,2010-01-08,미,수,,52.5,이정표,박성배,486
66,부경,2010-01-08,한,수,,52.5,오문식,정광화,452
67,부경,2010-01-08,한,수,,50,문제복,김정두,454
68,부경,2010-01-08,한,수,,56,문제복,홍태수,450
69,부경,2010-01-08,한,수,,54,윤주혁,최순자,447
70,부경,2010-01-08,한,암,,53,최기홍,신영기,452
71,부경,2010-01-08,한,암,,53,이상영,김승범,416
72,부경,2010-01-08,한,암,,53,김영관,고정수,492
73,부경,2010-01-08,한,암,,53,양귀선,전병연,458
74,부경,2010-01-08,한,암,,53,김남중,이성님,451
75,부경,2010-01-08,한,암,,53,김창옥,탐라유통,437
76,부경,2010-01-08,한,암,,53,장세한,김진영a,465
77,부경,2010-01-08,한,암,,53,김남중,태립건설,497
78,부경,2010-01-08,한,암,,53,김영관,윤지중,452
79,부경,2010-01-08,한,암,,53,방동석,김원호,464
80,부경,2010-01-08,한,암,,54,민장기,부건영,458
81,부경,2010-01-08,한,암,,51,이정표,고석주,430
82,부경,2010-01-08,한,암,,54,하무선,강성호,498
83,부경,2010-01-08,한,암,,54,방동석,김성봉,401
84,부경,2010-01-08,한,암,,53,유병복,범한산업,477
85,부경,2010-01-08,한,암,,53,김성현,허도행,452
86,부경,2010-01-08,한,암,,53,김상석,이종훈,483
87,부경,2010-01-08,한,암,,54,최기홍,인택주택건설,457
88,부경,2010-01-08,한,암,,53,김재섭,최영근,505
89,부경,2010-01-08,한,암,,56,하무선,김장겸,476
90,부경,2010-01-08,한,암,,57,강형곤,박웅진,454
