ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2013-01-04,한,수,,55,김재섭,부봉하,503
2,부경,2013-01-04,한,수,,53.5,양귀선,한정협,475
3,부경,2013-01-04,뉴,수,,51,이정표,김봉겸,479
4,부경,2013-01-04,한,수,,54,민장기,김욱수,538
5,부경,2013-01-04,한,수,,55,강형곤,최원길,468
6,부경,2013-01-04,한,수,,55,김남중,김평갑,519
7,부경,2013-01-04,한,수,,55.5,임금만,박광순,475
8,부경,2013-01-04,호,수,,55,김상석,안숙영,463
9,부경,2013-01-04,미,수,,56,유병복,범한산업,502
10,부경,2013-01-04,한,수,,56,김영관,태립건설,485
11,부경,2013-01-04,한,수,,54,강병은,신우철,480
12,부경,2013-01-04,한,수,,50,김재섭,김규성,486
13,부경,2013-01-04,미,수,,55,임동창,장철웅,511
14,부경,2013-01-04,미,수,,51,김상석,안숙영,542
15,부경,2013-01-04,미,수,,58,김창옥,고재완,490
16,부경,2013-01-04,미,수,,58,양귀선,양호규,478
17,부경,2013-01-04,한,수,,54,울즐리,임용근,529
18,부경,2013-01-04,한,수,,52,양귀선,최원호,508
19,부경,2013-01-04,한,수,,55,유병복,이준걸,489
20,부경,2013-01-04,한,수,,54,최기홍,김병우,463
21,부경,2013-01-04,한,수,,52,방동석,송달섭,488
22,부경,2013-01-04,한,수,,54,김길중,강용익,451
23,부경,2013-01-04,한,수,,54,최기홍,지광배,487
24,부경,2013-01-04,한,수,,54,양귀선,오공학,473
25,부경,2013-01-04,한,수,,54,김영관,박광순,521
26,부경,2013-01-04,미,수,,52,백광열,이종훈,498
27,부경,2013-01-04,미,수,,53.5,이상영,이갑섭,510
28,부경,2013-01-04,한,수,,53,김병학,이혜선,497
29,부경,2013-01-04,한,수,,56,김재섭,홍태수,440
30,부경,2013-01-04,한,수,,55,유병복,유수태,483
31,부경,2013-01-04,한,수,,57,백광열,이종훈,507
32,부경,2013-01-04,한,수,,54,김재섭,박의주,488
33,부경,2013-01-04,한,수,,54,조용배,강수현,444
34,부경,2013-01-04,한,수,,54,유병복,범한산업,522
35,부경,2013-01-04,한,수,,54,김영관,손천수,524
36,부경,2013-01-04,한,수,,54,오문식,고임계,480
37,부경,2013-01-04,호,수,,55,이상영,여홍현,466
38,부경,2013-01-04,미,수,,54,최기홍,이성영,488
39,부경,2013-01-04,미,수,,56,장세한,김장만,467
40,부경,2013-01-04,한,수,,52,김상석,송문관,487
41,부경,2013-01-04,한,수,,52,최기홍,안규생,446
42,부경,2013-01-04,한,수,,51.5,백광열,이호영,483
43,부경,2013-01-04,한,수,,51,김상석,서귀포시축협,494
44,부경,2013-01-04,한,수,,55.5,김상석,강종철,467
45,부경,2013-01-04,한,수,,54,오문식,정광화,476
46,부경,2013-01-04,한,수,,54,백광열,이종훈,0
47,부경,2013-01-04,한,암,,53,한상복,김화원,474
48,부경,2013-01-04,한,암,,53,하무선,서정범,490
49,부경,2013-01-04,호,암,,54,강형곤,홍경표,430
50,부경,2013-01-04,한,암,,53,김재섭,함안군,458
51,부경,2013-01-04,한,암,,51,김성현,허도행,459
52,부경,2013-01-04,한,암,,50,강병은,나현문,468
53,부경,2013-01-04,한,암,,53,양귀선,김영옥,426
54,부경,2013-01-04,미,수,,54,김창옥,최원호,506
55,부경,2013-01-04,한,암,,51,울즐리,정형철,434
56,부경,2013-01-04,한,암,,52,임동창,김성수,496
57,부경,2013-01-04,한,암,,53,백광열,홍순해,414
58,부경,2013-01-04,한,암,,50,강병은,김정두,418
59,부경,2013-01-04,한,암,,51,문제복,홍태수,472
60,부경,2013-01-04,한,암,,53,문제복,박은주,479
61,부경,2013-01-04,한,암,,54,조용배,장재원,448
62,부경,2013-01-04,한,암,,53,윤주혁,최상배,484
63,부경,2013-01-04,한,암,,54,김남중,이성님,447
64,부경,2013-01-04,한,암,,54,임금만,이광림,531
65,부경,2013-01-04,한,암,,55,양귀선,전병연,415
66,부경,2013-01-04,미,암,,53,하무선,박수영,447
67,부경,2013-01-04,한,수,,54,조용배,장재원,481
68,부경,2013-01-04,한,수,,54,백광열,장재원,491
69,부경,2013-01-04,한,수,,54,백광열,강훈표,490
70,부경,2013-01-04,미,수,,54,김영관,조태만,470
71,부경,2013-01-04,한,수,,54,권승주,손병철,478
72,부경,2013-01-04,뉴,수,,51,백광열,김준식,494
73,부경,2013-01-04,미,수,,54,이정표,이계옥,490
74,부경,2013-01-04,한,거,,53,김병학,송문관,470
75,부경,2013-01-04,한,거,,57,오문식,이원재,537
76,부경,2013-01-04,한,거,,52,김병학,변창덕,432
77,부경,2013-01-04,한,거,,54,민장기,허도행,457
78,부경,2013-01-04,한,거,,54,양귀선,김영옥,496
79,부경,2013-01-04,미,거,,54,김재섭,이태희,444
80,부경,2013-01-04,뉴,거,,55,유병복,세금성,423
81,부경,2013-01-04,미,거,,56,강병은,이시환,545
82,부경,2013-01-04,한,거,,55,김재섭,고명환,483
83,부경,2013-01-04,한,거,,55,임금만,김갑수,439
84,부경,2013-01-04,한,거,,55,김남중,한영희,440
85,부경,2013-01-04,한,거,,58,임금만,이성영,554
86,부경,2013-01-04,한,거,,57,한상복,장길순,507
87,부경,2013-01-04,한,거,,57,권승주,임병효,459
88,부경,2013-01-04,한,거,,52,민장기,최원호,489
89,부경,2013-01-04,한,거,,54,장세한,이동훈,541
90,부경,2013-01-04,뉴,거,,54,이정표,이주미,494
91,부경,2013-01-04,한,거,,55,윤주혁,정재화,472
92,부경,2013-01-04,한,거,,54,한상복,구영본,462
93,부경,2013-01-04,한,거,,52,고홍석,우만식,426
94,부경,2013-01-04,한,거,,54.5,김영관,김평갑,484
95,부경,2013-01-04,한,거,,54,임한,부건영,450
96,부경,2013-01-04,한,거,,54,유충열,유효일,464
97,부경,2013-01-04,미,거,,54,장세한,김성수,447
98,부경,2013-01-04,뉴,거,,56,이정표,손병현,454
99,부경,2013-01-04,미,거,,57,권승주,한관지,416
100,부경,2013-01-04,미,거,,55,조용배,최경환,510
101,부경,2013-01-04,한,암,,56,최기홍,이남일,480
102,부경,2013-01-04,한,암,,52,김영관,박광순,499
103,부경,2013-01-04,한,암,,54,고홍석,우만식,482
104,부경,2013-01-04,미,암,,52,김상석,김진영a,564
105,부경,2013-01-04,한,거,,55,민장기,양치복,475
106,부경,2013-01-04,한,암,,53,장세한,이동훈,466
107,부경,2013-01-04,한,거,,57,강형곤,이헌주,487
108,부경,2013-01-04,한,거,,54,김영관,고경민,480
109,부경,2013-01-04,한,암,,52,윤주혁,이계옥,472
110,부경,2013-01-04,한,암,,52,하무선,강성호,430
111,부경,2013-01-04,한,암,,52,김병학,인택주택건설,458
112,부경,2013-01-04,한,암,,52,윤주혁,최상배,440
113,부경,2013-01-04,한,암,,52,임동창,김용석,489
114,부경,2013-01-04,한,암,,52,김남중,임총재,470
115,부경,2013-01-04,한,암,,52,최기홍,김원식,494
116,부경,2013-01-04,한,암,,52,유병복,페가수스,455
117,부경,2013-01-04,한,암,,52,하무선,하만철,465
118,부경,2013-01-04,한,암,,52,김남중,최병부,498
119,부경,2013-01-04,한,암,,52,최기홍,손병철,442
120,부경,2013-01-04,한,암,,52,김영관,박선희,469
121,부경,2013-01-04,한,암,,50,방동석,이본희,453
122,부경,2013-01-04,한,암,,54,김병학,김진영b,466
123,부경,2013-01-04,한,암,,55,김창옥,탐라유통,474
124,부경,2013-01-04,한,암,,51,윤주혁,이치송,489
125,부경,2013-01-04,한,암,,51,강형곤,변창덕,460
126,부경,2013-01-04,한,암,,53,문제복,오종환,465
127,부경,2013-01-04,한,암,,53,권승주,임병효,482
128,부경,2013-01-04,한,암,,53,강형곤,변창덕,453
129,부경,2013-01-04,한,암,,53,오문식,권경준,470
130,부경,2013-01-04,한,암,,50,이정표,이성인,432
131,부경,2013-01-04,한,암,,53,조용배,장재원,448
132,부경,2013-01-04,미,암,,53,윤주혁,최상배,475
133,부경,2013-01-04,미,암,,54,한상복,변공민,473
134,부경,2013-01-04,미,암,,51,김병학,이성기,433
135,부경,2013-01-04,미,암,,54,오문식,정광화,505
136,부경,2013-01-04,미,암,,53,조용배,김원식,445
137,부경,2013-01-04,미,암,,52,이상영,이갑섭,446
138,부경,2013-01-04,미,암,,51,김재섭,김규성,466
139,부경,2013-01-04,미,암,,52,방동석,신우철,462
140,부경,2013-01-04,한,암,,51,장세한,김진영a,446
141,부경,2013-01-04,한,암,,52,울즐리,김규성,461
142,부경,2013-01-04,한,암,,53,조용배,장재원,480
143,부경,2013-01-04,한,암,,52,울즐리,장석노,450
144,부경,2013-01-04,한,암,,53,임동창,이정원,483
145,부경,2013-01-04,한,암,,54,양귀선,김영옥,451
146,부경,2013-01-04,한,암,,51,오문식,강종민,500
147,부경,2013-01-06,한,수,,53,김상석,김진영a,508
148,부경,2013-01-06,한,암,,54,조용배,강수현,419
149,부경,2013-01-06,미,수,,54,임금만,이원태,483
150,부경,2013-01-06,한,수,,54,장세한,김화원,510
151,부경,2013-01-06,한,수,,51,유충열,태영종합건설,477
152,부경,2013-01-06,한,수,,51.5,양귀선,최원길,457
153,부경,2013-01-06,미,수,,56,윤주혁,송정아,486
154,부경,2013-01-06,한,수,,58.5,민장기,송달섭,497
155,부경,2013-01-06,한,수,,55,이정표,유효일,494
156,부경,2013-01-06,한,수,,55,조용배,송한우,479
157,부경,2013-01-06,한,수,,55,오문식,백영일,441
158,부경,2013-01-06,한,수,,53,백광열,김욱수,466
159,부경,2013-01-06,한,수,,57,강형곤,김원호,500
160,부경,2013-01-06,한,수,,51,방동석,조영자,469
161,부경,2013-01-06,미,암,,53,김재섭,고경민,427
162,부경,2013-01-06,미,암,,53,권승주,김봉겸,444
163,부경,2013-01-06,한,암,,54,양귀선,최원길,446
164,부경,2013-01-06,한,수,,53,김재섭,이태희,497
165,부경,2013-01-06,미,수,,54,유충열,이혜선,448
166,부경,2013-01-06,한,거,,51.5,한상복,장길순,476
167,부경,2013-01-06,한,거,,51,이상영,김봉경,483
168,부경,2013-01-06,한,거,,52,울즐리,이득선,480
169,부경,2013-01-06,한,거,,51,한상복,변공민,449
170,부경,2013-01-06,호,거,,51,방동석,유수태,501
171,부경,2013-01-06,한,거,,52,울즐리,김지원,464
172,부경,2013-01-06,미,거,,52.5,김창옥,고재완,473
173,부경,2013-01-06,한,수,,56,김상석,전종섭,482
174,부경,2013-01-06,한,거,,56,문제복,김정두,491
175,부경,2013-01-06,미,거,,54,김창옥,손병현,458
176,부경,2013-01-06,미,거,,54,최기홍,안규생,487
177,부경,2013-01-06,미,거,,54,오문식,강종민,524
178,부경,2013-01-06,한,거,,54.5,오문식,김수안,510
179,부경,2013-01-06,미,거,,52,장세한,이동훈,495
180,부경,2013-01-06,미,수,,54,이상영,이혜란,477
181,부경,2013-01-06,미,수,,54,백광열,박웅진,555
182,부경,2013-01-06,미,암,,53,김상석,김진영a,483
183,부경,2013-01-06,한,암,,56,김영관,김평갑,506
184,부경,2013-01-06,한,암,,51,강병은,김정두,476
185,부경,2013-01-06,미,거,,51,문제복,박은주,470
186,부경,2013-01-06,한,암,,51,유충열,홍태수,440
187,부경,2013-01-06,한,암,,54,임금만,김갑수,467
188,부경,2013-01-06,한,암,,54,김남중,양호규,466
189,부경,2013-01-06,한,암,,52,이상영,정재훈,440
190,부경,2013-01-06,한,암,,53,민장기,양치복,512
191,부경,2013-01-06,한,암,,55,김창옥,강훈표,464
192,부경,2013-01-06,한,암,,51,방동석,유수태,447
193,부경,2013-01-06,한,암,,55,유병복,범한산업,502
194,부경,2013-01-06,한,암,,53,김길중,구교일,465
195,부경,2013-01-06,캐,암,,54,장세한,강남연,510
196,부경,2013-01-06,미,암,,51,김병학,김종석,476
197,부경,2013-01-06,미,암,,53,유병복,김광원,484
198,부경,2013-01-06,한,암,,52,하무선,김광원,453
199,부경,2013-01-06,미,수,,54,윤주혁,이동헌,440
200,부경,2013-01-11,한,암,,56,강형곤,정영식,435
201,부경,2013-01-11,한,암,,55,장세한,이동훈,497
202,부경,2013-01-11,한,암,,52,김재섭,고문섭,488
203,부경,2013-01-11,한,암,,53,한상복,손병철,430
204,부경,2013-01-11,한,암,,55,장세한,강남연,458
205,부경,2013-01-11,한,암,,54,임동창,한정협,500
206,부경,2013-01-11,한,암,,55,권승주,김영옥,447
207,부경,2013-01-11,뉴,암,,54,김성현,조영자,451
208,부경,2013-01-11,한,암,,53,김창옥,김호종,470
209,부경,2013-01-11,한,암,,53,이정표,이혜란,466
210,부경,2013-01-11,한,암,,53,유충열,이혜선,419
211,부경,2013-01-11,한,암,,53,김창옥,현길림,455
212,부경,2013-01-11,한,암,,52,고홍석,송윤지,448
213,부경,2013-01-11,한,암,,50,이정표,이계옥,459
214,부경,2013-01-11,한,암,,54,조용배,강수현,467
215,부경,2013-01-11,한,암,,54,김남중,최병부,458
216,부경,2013-01-11,한,거,,54,임한,김중길,546
217,부경,2013-01-11,한,거,,57,윤주혁,이치송,472
218,부경,2013-01-11,미,거,,54,김창옥,고재완,480
219,부경,2013-01-11,한,암,,55,양귀선,이성님,468
220,부경,2013-01-11,한,암,,53,임금만,최영근,468
221,부경,2013-01-11,한,암,,53,임한,태희종합건설,465
222,부경,2013-01-11,한,암,,52,고홍석,오종환,500
223,부경,2013-01-11,한,암,,54,김길중,김원식,429
224,부경,2013-01-11,한,암,,53,조용배,김준희,414
225,부경,2013-01-11,한,암,,51,윤주혁,최상배,457
226,부경,2013-01-11,한,암,,52,김영관,손천수,507
227,부경,2013-01-11,한,암,,50,최기홍,안규생,429
228,부경,2013-01-11,한,암,,50,김재섭,부건영,438
229,부경,2013-01-11,한,암,,51,고홍석,백진희,492
230,부경,2013-01-11,한,암,,51,김영관,권주순,482
231,부경,2013-01-11,한,암,,55,김재섭,조태만,439
232,부경,2013-01-11,한,암,,54,유충열,여홍현,448
233,부경,2013-01-11,한,암,,56,조용배,송한우,454
234,부경,2013-01-11,한,암,,54,김창옥,김성수,466
235,부경,2013-01-11,한,암,,53,장세한,김의기,461
236,부경,2013-01-11,한,암,,51,울즐리,김흥보,500
237,부경,2013-01-11,한,암,,53,하무선,서정범,446
238,부경,2013-01-11,한,암,,53,강형곤,이성민,494
239,부경,2013-01-11,한,암,,53,김병학,미타31,464
240,부경,2013-01-11,한,암,,53,김남중,이성님,487
241,부경,2013-01-11,한,암,,53,임한,이종석,437
242,부경,2013-01-11,한,암,,53,오문식,정광화,496
243,부경,2013-01-11,한,암,,54,조용배,송한우,442
244,부경,2013-01-11,한,암,,51,김상석,한영희,447
245,부경,2013-01-11,미,암,,53,김상석,강종철,470
246,부경,2013-01-11,한,암,,52,고홍석,백진희,490
247,부경,2013-01-11,한,암,,52,윤주혁,서귀포시축협,492
248,부경,2013-01-11,한,암,,52,유충열,이혜선,504
249,부경,2013-01-11,한,암,,52,최기홍,오헌봉,473
250,부경,2013-01-11,한,암,,55,이정표,유효일,463
251,부경,2013-01-11,한,암,,54,유충열,최순자,452
252,부경,2013-01-11,한,암,,53,오문식,정완모,477
253,부경,2013-01-11,한,암,,54,김성현,강성호,441
254,부경,2013-01-11,한,암,,52,김상석,안숙영,479
255,부경,2013-01-11,한,암,,55,백광열,이호영,467
256,부경,2013-01-11,한,암,,51,한상복,김화원,462
257,부경,2013-01-11,한,수,,53.5,백광열,김욱수,519
258,부경,2013-01-11,한,수,,54,민장기,이호영,495
259,부경,2013-01-11,한,수,,57,김병학,김용석,455
260,부경,2013-01-11,한,수,,51,이상영,남석우,476
261,부경,2013-01-11,한,수,,54,민장기,이종훈,453
262,부경,2013-01-11,한,수,,55,유병복,김성수,510
263,부경,2013-01-11,한,수,,55,김남중,최병부,475
264,부경,2013-01-11,호,수,,54,윤주혁,서삼석,515
265,부경,2013-01-11,미,수,,51,방동석,이득선,485
266,부경,2013-01-11,한,수,,52,최기홍,이시환,475
267,부경,2013-01-11,한,수,,54,권승주,서종호,472
268,부경,2013-01-11,한,수,,54,백광열,김원식,439
269,부경,2013-01-11,한,수,,54,민장기,김욱수,479
270,부경,2013-01-11,한,수,,55,이상영,김봉겸,460
271,부경,2013-01-11,한,수,,51,방동석,이본희,474
272,부경,2013-01-11,한,수,,54,강형곤,홍경표,501
273,부경,2013-01-11,한,수,,54,백광열,이종훈,468
274,부경,2013-01-11,한,수,,54,김성현,허도행,510
