ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2008-01-04,호,암,,51,임금만,김찬식,416
2,부경,2008-01-04,미,암,,50,김남중,노동길,430
3,부경,2008-01-04,미,암,,52,고홍석,배동성,454
4,부경,2008-01-04,호,암,,53,문제복,고임계,462
5,부경,2008-01-04,미,암,,51,김재섭,홍창도,513
6,부경,2008-01-04,한,암,,52,김길중,전명희,433
7,부경,2008-01-04,한,암,,51,최기홍,조영석,430
8,부경,2008-01-04,호,거,,55,윤주혁,김용부,487
9,부경,2008-01-04,호,거,,57,임금만,이성기,403
10,부경,2008-01-04,한,거,,56,김남중,이유성,457
11,부경,2008-01-04,한,거,,54,윤주혁,윤지중,493
12,부경,2008-01-04,한,암,,53,조용배,김원식,428
13,부경,2008-01-04,한,암,,49,양귀선,윤복선,407
14,부경,2008-01-04,일,암,,53,강형곤,김진영a,431
15,부경,2008-01-04,한,암,,54.5,김창옥,윤태현,500
16,부경,2008-01-04,한,암,,53,이상영,박광순,406
17,부경,2008-01-04,한,암,,49,오문식,임동철,448
18,부경,2008-01-04,한,암,,52,오문식,백영일,452
19,부경,2008-01-04,한,암,,49,한상복,박원선,407
20,부경,2008-01-04,한,암,,53,장세한,정시홍,430
21,부경,2008-01-04,한,암,,49,임한,박평양,446
22,부경,2008-01-04,호,암,,50,장세한,김경태,481
23,부경,2008-01-04,호,암,,54,김병학,최원길,435
24,부경,2008-01-04,미,암,,53,윤주혁,이원재,452
25,부경,2008-01-04,일,암,,53,김영관,박선희,448
26,부경,2008-01-04,한,암,,50,김병학,김대욱,401
27,부경,2008-01-04,미,암,,50,방동석,서종호,423
28,부경,2008-01-04,미,암,,50,하무선,고경민,425
29,부경,2008-01-04,미,암,,52,이상영,김상기,477
30,부경,2008-01-04,한,암,,50,이상영,최영근,497
31,부경,2008-01-04,한,암,,59.5,김상석,박선희,427
32,부경,2008-01-04,한,암,,55,윤주혁,이혜란,457
33,부경,2008-01-04,한,암,,52,김영관,박소이,500
34,부경,2008-01-04,한,수,,53.5,백광열,강훈표,512
35,부경,2008-01-04,호,수,,56,김재섭,윤지중,497
36,부경,2008-01-04,한,수,,53,김재섭,김규성,456
37,부경,2008-01-04,한,암,,55,문제복,조미선,452
38,부경,2008-01-04,한,암,,54,유충열,임병효,420
39,부경,2008-01-04,한,암,,51,강병은,김병완,487
40,부경,2008-01-04,한,암,,50,한상복,김용구,459
41,부경,2008-01-04,한,암,,50,조용배,김훈,408
42,부경,2008-01-04,한,암,,53,김상석,김성학,408
43,부경,2008-01-04,한,암,,53,장세한,양국만,492
44,부경,2008-01-04,한,암,,54,장세한,이동훈,450
45,부경,2008-01-04,한,암,,52,김창옥,곽종수,415
46,부경,2008-01-04,한,암,,53,김성현,임종아,483
47,부경,2008-01-04,한,암,,53,김영관,오영복,458
48,부경,2008-01-04,한,수,,51,유충열,이성민,435
49,부경,2008-01-04,한,수,,54,김영관,류용상,466
50,부경,2008-01-04,한,수,,54,방동석,채찬식,419
51,부경,2008-01-04,한,수,,54.5,오문식,유상호,460
52,부경,2008-01-04,한,수,,53,김재섭,배성근,484
53,부경,2008-01-04,한,수,,54,김창옥,김원식,486
54,부경,2008-01-04,한,수,,55.5,유충열,김용석,443
55,부경,2008-01-04,한,수,,56.5,백광열,최원호,475
56,부경,2008-01-04,한,수,,50,강형곤,김진영a,493
57,부경,2008-01-04,미,수,,50,임금만,이종훈,490
58,부경,2008-01-04,일,수,,52.5,한상복,조영자,507
59,부경,2008-01-04,한,수,,54,이정표,김경태,439
60,부경,2008-01-04,미,수,,56,윤주혁,최순자,483
61,부경,2008-01-04,호,수,,51,김상석,김원호,464
62,부경,2008-01-04,호,수,,55,임한,이시환,486
63,부경,2008-01-04,호,수,,52,김창옥,김원식,509
64,부경,2008-01-04,호,수,,53,최기홍,배동성,455
65,부경,2008-01-04,한,수,,54,김영관,윤지중,494
66,부경,2008-01-04,한,수,,54,임한,박평양,493
67,부경,2008-01-04,한,수,,52,김상석,김원호,466
68,부경,2008-01-04,한,수,,54,유병복,임일성,474
69,부경,2008-01-04,한,수,,54,조용배,장재원,489
70,부경,2008-01-04,한,수,,54,김재섭,최원호,461
71,부경,2008-01-04,한,수,,54,이정표,박수영,435
72,부경,2008-01-04,한,수,,56,김길중,김기명,460
73,부경,2008-01-04,한,수,,55,민장기,고임계,415
74,부경,2008-01-04,미,수,,54,김재섭,이원태,499
75,부경,2008-01-04,미,수,,54,김상석,강복실,456
76,부경,2008-01-04,한,수,,54,강형곤,김원구,460
77,부경,2008-01-04,한,수,,52,유병복,최영근,454
78,부경,2008-01-04,한,수,,50,오문식,권경준,483
79,부경,2008-01-04,미,수,,57,유충열,임병효,495
80,부경,2008-01-04,한,거,,54.5,김재섭,조태만,481
81,부경,2008-01-04,미,거,,54.5,김재섭,조태만,513
82,부경,2008-01-04,호,거,,51.5,이상영,김진영a,471
83,부경,2008-01-04,한,거,,54,김영관,박소이,468
84,부경,2008-01-04,한,거,,51,김병학,박영진,466
85,부경,2008-01-04,한,거,,54,이정표,이계옥,458
86,부경,2008-01-04,한,거,,54,임금만,이성님,453
87,부경,2008-01-04,호,거,,51,이정표,이창호,439
88,부경,2008-01-04,한,거,,54,김재섭,서성열,518
89,부경,2008-01-04,한,거,,54,강형곤,김영민,504
90,부경,2008-01-06,한,거,,52,문제복,김정두,458
91,부경,2008-01-06,미,거,,54,고홍석,배동성,484
92,부경,2008-01-06,미,암,,54,김창옥,서귀포시축협,432
93,부경,2008-01-06,한,암,,51,김남중,박광순,457
94,부경,2008-01-06,한,암,,51,한상복,조미선,455
95,부경,2008-01-06,한,암,,54,강형곤,이종균,467
96,부경,2008-01-06,한,암,,54,백광열,장재원,429
97,부경,2008-01-06,한,암,,53,윤주혁,임용근,460
98,부경,2008-01-06,한,암,,54,김재섭,송문관,484
99,부경,2008-01-06,호,암,,52,강형곤,전우석,462
100,부경,2008-01-06,미,암,,50,이상영,최원호,449
101,부경,2008-01-06,미,암,,52,김재섭,홍태수,483
102,부경,2008-01-06,한,암,,52,최기홍,이예은,467
103,부경,2008-01-06,한,암,,53,김창옥,김욱수,467
104,부경,2008-01-06,한,암,,50,강병은,문원배,441
105,부경,2008-01-06,한,암,,53,김성현,송학,449
106,부경,2008-01-06,한,암,,54,양귀선,나현정,441
107,부경,2008-01-06,한,암,,55,김영관,남석우,477
108,부경,2008-01-06,한,암,,53,강병은,김정두,462
109,부경,2008-01-06,미,암,,53,김영관,윤지중,454
110,부경,2008-01-06,한,암,,54,양귀선,강훈표,444
111,부경,2008-01-06,한,암,,51,강병은,김정두,449
112,부경,2008-01-06,한,암,,54,김길중,성태진,427
113,부경,2008-01-06,한,암,,53,최기홍,이남일,399
114,부경,2008-01-06,한,암,,54,장세한,이남일,446
115,부경,2008-01-06,한,암,,51,김성현,전우석,446
116,부경,2008-01-06,한,암,,52.5,민장기,박소이,463
117,부경,2008-01-06,한,암,,54.5,한상복,양정두,468
118,부경,2008-01-06,미,수,,53,강형곤,문원배,472
119,부경,2008-01-06,한,수,,56,이상영,임종아,521
120,부경,2008-01-06,미,수,,53,최기홍,이용우,513
121,부경,2008-01-06,한,수,,52.5,백광열,이성영,441
122,부경,2008-01-06,한,수,,56,최기홍,문성제,456
123,부경,2008-01-06,일,수,,54,문제복,박평양,491
124,부경,2008-01-06,한,수,,56,민장기,송달섭,487
125,부경,2008-01-06,한,수,,52,유병복,전성연,435
126,부경,2008-01-06,호,암,,52,이정표,강용익,463
127,부경,2008-01-06,미,암,,49,오문식,정운진,497
128,부경,2008-01-06,한,암,,54,김병학,박영진,441
129,부경,2008-01-06,호,암,,51,유병복,정영식,456
130,부경,2008-01-06,호,수,,50,윤주혁,임용근,441
131,부경,2008-01-06,한,수,,55,유병복,임종아,504
132,부경,2008-01-06,한,수,,56.5,김영관,유영상,480
133,부경,2008-01-06,한,수,,53,조용배,허도행,477
134,부경,2008-01-06,한,수,,53,방동석,박소이,431
135,부경,2008-01-06,한,수,,54,김남중,고경현,473
136,부경,2008-01-06,한,수,,54,이정표,권기우,428
137,부경,2008-01-06,한,수,,56,유충열,윤지중,462
138,부경,2008-01-06,미,수,,54,백광열,이호영,457
139,부경,2008-01-06,호,수,,53,임한,구교일,498
140,부경,2008-01-06,일,수,,54,장세한,이명희 ,480
141,부경,2008-01-06,한,수,,56,백광열,최원호,488
142,부경,2008-01-06,한,수,,54,방동석,윤지중,457
143,부경,2008-01-06,한,수,,54,강형곤,김욱수,449
144,부경,2008-01-06,한,수,,54,한상복,정형철,418
145,부경,2008-01-06,한,수,,53,조용배,이예은,448
146,부경,2008-01-06,호,수,,55,김상석,김원호,519
