ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2011-01-07,한,암,,54,최기홍,김원식,444
2,부경,2011-01-07,한,암,,53,김상석,김봉겸,497
3,부경,2011-01-07,한,암,,53,임금만,이정원,466
4,부경,2011-01-07,호,암,,52,김상석,이종훈,446
5,부경,2011-01-07,미,암,,51,방동석,이득선,474
6,부경,2011-01-07,뉴,거,,53,김창옥,현길림,463
7,부경,2011-01-07,호,거,,54,오문식,김봉겸,451
8,부경,2011-01-07,미,거,,54,김길중,김용구,0
9,부경,2011-01-07,호,거,,53,조머피,김장겸,453
10,부경,2011-01-07,한,거,,52,이정표,여성숙,455
11,부경,2011-01-07,한,거,,54,최기홍,송정아,506
12,부경,2011-01-07,한,거,,54,한상복,변공민,442
13,부경,2011-01-07,한,거,,56,조용배,장재원,496
14,부경,2011-01-07,한,거,,54,문제복,홍태수,462
15,부경,2011-01-07,한,거,,54,김상석,강종철,496
16,부경,2011-01-07,한,거,,54,윤주혁,김봉겸,464
17,부경,2011-01-07,미,거,,53,임금만,김평갑,523
18,부경,2011-01-07,한,거,,55,임동창,강용익,483
19,부경,2011-01-07,한,거,,57,임금만,김갑수,507
20,부경,2011-01-07,호,거,,53,오문식,김중길,482
21,부경,2011-01-07,한,거,,54.5,김영관,이성희,486
22,부경,2011-01-07,한,거,,56,한상복,윤지중,464
23,부경,2011-01-07,한,거,,54.5,윤주혁,민우식,444
24,부경,2011-01-07,한,암,,53,울즐리,문성제,456
25,부경,2011-01-07,한,암,,53,김상석,이호영,451
26,부경,2011-01-07,한,암,,53,윤주혁,한영희,451
27,부경,2011-01-07,한,암,,52,백광열,강훈표,446
28,부경,2011-01-07,한,암,,54,장세한,이명희 ,422
29,부경,2011-01-07,한,암,,52,김영관,류용상,479
30,부경,2011-01-07,한,거,,54,강형곤,최원길,467
31,부경,2011-01-07,한,수,,54,김상석,김장겸,456
32,부경,2011-01-07,미,수,,50,강병은,박성민,488
33,부경,2011-01-07,한,수,,54.5,유충열,태영종합건설,491
34,부경,2011-01-07,한,수,,53.5,김성현,백영일,491
35,부경,2011-01-07,한,수,,54,김상석,김정두,484
36,부경,2011-01-07,한,수,,54,최기홍,이남일,486
37,부경,2011-01-07,한,수,,54,김성현,고경현,485
38,부경,2011-01-07,한,수,,54,김영관,태희종합건설,496
39,부경,2011-01-07,미,수,,53,양귀선,윤복선,468
40,부경,2011-01-07,미,암,,53,강형곤,이성민,451
41,부경,2011-01-07,미,암,,53,김상석,김진영a,475
42,부경,2011-01-07,미,암,,51,김성현,조영자,465
43,부경,2011-01-07,한,암,,51,백광열,김욱수,424
44,부경,2011-01-07,한,암,,53.5,양귀선,양호규,458
45,부경,2011-01-07,미,암,,51,민장기,박성익,487
46,부경,2011-01-07,한,암,,53,김상석,이호영,442
47,부경,2011-01-07,한,암,,54,김영관,고정수,477
48,부경,2011-01-07,한,암,,54,김상석,오공학,461
49,부경,2011-01-07,한,암,,53,임금만,이광림,495
50,부경,2011-01-07,한,암,,52,장세한,김진영a,462
51,부경,2011-01-07,한,암,,55,김창옥,현길림,478
52,부경,2011-01-07,한,암,,53,방동석,김원호,442
53,부경,2011-01-07,한,암,,52,임한,오종환,471
54,부경,2011-01-07,미,암,,53,민장기,허도행,465
55,부경,2011-01-07,호,암,,53,김병학,고재완,426
56,부경,2011-01-07,호,암,,52,고홍석,우만식,485
57,부경,2011-01-07,미,암,,52,오문식,이원재,440
58,부경,2011-01-07,한,암,,52,임금만,이성기,479
59,부경,2011-01-07,한,수,,54,김창옥,이영선,445
60,부경,2011-01-07,한,수,,54,고홍석,안우식,516
61,부경,2011-01-07,한,수,,54,김길중,박정배,435
62,부경,2011-01-07,한,수,,54,양귀선,김헌영,476
63,부경,2011-01-07,한,수,,54,백광열,서종호,485
64,부경,2011-01-07,한,거,,55,김영관,태희종합건설,522
65,부경,2011-01-07,한,거,,54,김길중,김욱수,470
66,부경,2011-01-07,한,수,,53,백광열,박웅진,509
67,부경,2011-01-07,한,수,,56,김길중,김용부,506
68,부경,2011-01-07,한,수,,53,김병학,이혜란,507
69,부경,2011-01-07,한,수,,54,방동석,이본희,480
70,부경,2011-01-07,한,수,,54,김상석,인택주택건설,450
71,부경,2011-01-07,한,수,,54,한상복,배동성,450
72,부경,2011-01-07,한,수,,54,오문식,장길순,507
73,부경,2011-01-07,한,수,,54,김재섭,남석우,462
74,부경,2011-01-07,한,수,,55,민장기,송달섭,474
75,부경,2011-01-07,한,수,,53,유충열,이성기,504
76,부경,2011-01-07,호,수,,54,강형곤,홍경표,460
77,부경,2011-01-07,미,수,,57,강병은,문경숙,474
78,부경,2011-01-07,호,수,,52,강형곤,류종완,445
79,부경,2011-01-07,호,수,,51,김병학,유종훈,478
80,부경,2011-01-07,한,수,,51,김상석,서귀포시축협,478
81,부경,2011-01-07,한,수,,54,울즐리,이득선,489
82,부경,2011-01-07,한,수,,55,조용배,이성영,502
83,부경,2011-01-07,한,수,,55.5,윤주혁,민우식,490
84,부경,2011-01-07,한,수,,56,이정표,김중길,495
85,부경,2011-01-07,한,수,,54.5,문제복,김용구,494
86,부경,2011-01-07,한,수,,53,장세한,이동훈,457
87,부경,2011-01-07,호,수,,53,윤주혁,최순자,439
88,부경,2011-01-07,호,수,,53,임동창,최영근,467
89,부경,2011-01-07,한,수,,56,윤주혁,김봉겸,464
90,부경,2011-01-07,한,수,,56,유병복,김성수,464
91,부경,2011-01-07,한,수,,53,최기홍,이유성,492
92,부경,2011-01-07,한,수,,54,유충열,한관지,484
93,부경,2011-01-07,한,수,,54,방동석,김원호,450
94,부경,2011-01-07,한,수,,56,한상복,변공민,502
95,부경,2011-01-07,미,수,,53,윤주혁,정재화,488
96,부경,2011-01-07,미,수,,53.5,김재섭,이원태,511
97,부경,2011-01-07,미,수,,53,조용배,장재원,481
98,부경,2011-01-07,미,수,,53,강형곤,최영근,548
99,부경,2011-01-07,한,수,,56,임한,이성욱,455
100,부경,2011-01-07,한,수,,54,김재섭,최원호,478
101,부경,2011-01-07,미,수,,56,임한,김기명,496
102,부경,2011-01-07,한,수,,55,백광열,이호영,492
103,부경,2011-01-07,뉴,거,,54,양귀선,최원길,456
104,부경,2011-01-07,호,거,,54,김재섭,김규성,497
105,부경,2011-01-07,미,거,,56,장세한,강남연,469
106,부경,2011-01-07,한,거,,54,유병복,현길림,463
107,부경,2011-01-07,한,거,,54,유충열,강용익,446
108,부경,2011-01-07,한,암,,52,장세한,송재길,477
109,부경,2011-01-07,한,암,,51,유병복,현길림,421
110,부경,2011-01-07,한,암,,52,장세한,홍찬표,479
111,부경,2011-01-07,한,암,,52,임한,이성욱,477
112,부경,2011-01-07,한,암,,54,문제복,김정두,425
113,부경,2011-01-07,한,암,,54,유충열,이성님,462
114,부경,2011-01-07,한,암,,52,김길중,박호익,449
115,부경,2011-01-07,한,암,,52,김성현,조영자,455
116,부경,2011-01-07,한,암,,52,이정표,고석주,435
117,부경,2011-01-07,한,암,,53,장세한,(주)넓은,423
118,부경,2011-01-07,한,암,,53,김병학,김영옥,489
119,부경,2011-01-07,한,암,,53,김재섭,김규성,460
120,부경,2011-01-07,한,암,,53,유병복,범한산업,466
121,부경,2011-01-07,한,암,,51,오문식,강종민,429
122,부경,2011-01-07,한,암,,54,한상복,태희종합건설,455
123,부경,2011-01-09,한,수,,50,양귀선,최원길,463
124,부경,2011-01-09,한,수,,50,민장기,허도행,497
