ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2009-01-09,한,암,,52,장세한,송재길,496
2,부경,2009-01-09,한,암,,52,김영관,태희종합건설,502
3,부경,2009-01-09,한,암,,53,문제복,홍태수,476
4,부경,2009-01-09,한,암,,53,유충열,강용익,458
5,부경,2009-01-09,한,암,,49,민장기,유종훈,454
6,부경,2009-01-09,한,암,,51,최기홍,이용우,455
7,부경,2009-01-09,한,암,,53,김재섭,최영근,504
8,부경,2009-01-09,한,암,,53,유병복,정영식,392
9,부경,2009-01-09,일,암,,53,김병학,최원길,428
10,부경,2009-01-09,미,암,,53,이상영,김영구,476
11,부경,2009-01-09,일,암,,51,김상석,김장겸,471
12,부경,2009-01-09,한,암,,52,강형곤,이본희,409
13,부경,2009-01-09,미,암,,53.5,한상복,강성호,470
14,부경,2009-01-09,일,암,,53,김병학,김진영b,477
15,부경,2009-01-09,미,암,,51.5,윤주혁,임용근,447
16,부경,2009-01-09,한,암,,51,임금만,김진영,496
17,부경,2009-01-09,한,암,,50,하무선,김장겸,469
18,부경,2009-01-09,한,암,,51.5,유병복,정영식,470
19,부경,2009-01-09,한,암,,50,고홍석,김대신,475
20,부경,2009-01-09,한,암,,52,양귀선,이성님,429
21,부경,2009-01-09,한,암,,53,김상석,정진호,417
22,부경,2009-01-09,한,암,,54,방동석,고석상,482
23,부경,2009-01-09,한,암,,54,김병학,문경숙,467
24,부경,2009-01-09,한,암,,54,문제복,서귀포시축협,470
25,부경,2009-01-09,미,암,,54,김영관,이성기,444
26,부경,2009-01-09,호,암,,51,조용배,고정수,452
27,부경,2009-01-09,한,암,,52.5,임금만,김갑수,452
28,부경,2009-01-09,한,암,,55,백광열,박웅진,480
29,부경,2009-01-09,한,암,,49,민장기,송문관,465
30,부경,2009-01-09,한,암,,52,김창옥,고재완,449
31,부경,2009-01-09,한,암,,53,김상석,김정두,475
32,부경,2009-01-09,한,암,,53,김병학,김진영,425
33,부경,2009-01-09,한,암,,52,김상석,정진호,423
34,부경,2009-01-09,미,암,,53,김영관,김경태,454
35,부경,2009-01-09,미,암,,51,김남중,여익구,487
36,부경,2009-01-09,호,거,,55,김영관,이성희,511
37,부경,2009-01-09,일,거,,56,임금만,김갑수,468
38,부경,2009-01-09,한,거,,52,고홍석,박영진,487
39,부경,2009-01-09,한,암,,52,유충열,최경환,449
40,부경,2009-01-09,한,암,,54,고홍석,우만식,450
41,부경,2009-01-09,한,수,,57,강형곤,김욱수,464
42,부경,2009-01-09,한,수,,50,강병은,나현문,455
43,부경,2009-01-09,한,수,,54,조용배,김준희,468
44,부경,2009-01-09,미,수,,50,이정표,이창호,468
45,부경,2009-01-09,미,수,,55,강병은,전병연,482
46,부경,2009-01-09,미,수,,54,방동석,김원구,457
47,부경,2009-01-09,한,수,,54,강형곤,강용익,508
48,부경,2009-01-09,뉴,수,,56,양귀선,나현정,499
49,부경,2009-01-09,한,수,,53,김재섭,송문관,533
50,부경,2009-01-09,한,수,,54,장세한,김의기,513
51,부경,2009-01-09,한,수,,54,이상영,김승범,469
52,부경,2009-01-09,한,수,,54,임한,김원호,521
53,부경,2009-01-09,한,수,,54,김영관,태희종합건설,487
54,부경,2009-01-09,한,수,,56,김길중,김기명,484
55,부경,2009-01-09,호,수,,55.5,김재섭,서성열,511
56,부경,2009-01-09,미,수,,51.5,백광열,이종훈,457
57,부경,2009-01-09,한,수,,54,백광열,송정아,514
58,부경,2009-01-09,미,수,,54,민장기,송달섭,489
59,부경,2009-01-09,미,수,,54,김재섭,이원태,506
60,부경,2009-01-09,한,수,,59,장세한,이명희 ,488
61,부경,2009-01-09,한,수,,51,이정표,윤태현,525
62,부경,2009-01-09,한,수,,56,울즐리,이시돌협회,478
63,부경,2009-01-09,한,수,,56,임한,구교일,506
64,부경,2009-01-09,한,수,,55,민장기,최순자,460
65,부경,2009-01-09,한,수,,55,김재섭,배성근,516
66,부경,2009-01-09,한,수,,54,김남중,홍경표,495
67,부경,2009-01-09,한,수,,52,최기홍,이원재,507
68,부경,2009-01-09,호,수,,55,방동석,서종호,461
69,부경,2009-01-09,미,수,,54,이정표,권기우,513
70,부경,2009-01-09,미,수,,54,오문식,정광화,477
71,부경,2009-01-09,호,수,,55,백광열,박웅진,503
72,부경,2009-01-09,미,수,,54,김창옥,조규섭,456
73,부경,2009-01-09,한,수,,56,임한,서귀포시축협,475
74,부경,2009-01-09,한,수,,54,이정표,윤태현,474
75,부경,2009-01-09,한,수,,54,김성현,김영구,483
76,부경,2009-01-09,한,수,,52,오문식,장길순,483
77,부경,2009-01-09,한,암,,51,강병은,김병완,412
78,부경,2009-01-09,한,암,,54,김영관,정영식,517
79,부경,2009-01-09,뉴,암,,50,임금만,부건영,473
80,부경,2009-01-09,미,암,,53,강형곤,안숙영,468
81,부경,2009-01-09,한,암,,53,김영관,류용상,478
82,부경,2009-01-09,한,암,,53,조용배,박평양,478
83,부경,2009-01-09,한,암,,51,김상석,이종훈,499
84,부경,2009-01-09,한,수,,53,임한,김원구,465
85,부경,2009-01-09,한,수,,54,조용배,고석주,487
86,부경,2009-01-09,한,수,,50,임금만,박수영,445
87,부경,2009-01-09,한,수,,54.5,김영관,김선욱,521
88,부경,2009-01-09,한,수,,51.5,조용배,장재원,507
89,부경,2009-01-09,한,수,,52,오문식,정광화,459
90,부경,2009-01-09,한,수,,54,민장기,허도행,492
91,부경,2009-01-09,호,수,,55,김재섭,송재길,473
92,부경,2009-01-09,미,수,,54,유병복,심상순,496
93,부경,2009-01-09,미,수,,50,임금만,김평갑,482
94,부경,2009-01-09,미,수,,54,김재섭,송문관,474
95,부경,2009-01-09,미,수,,54,강병은,박성민,481
96,부경,2009-01-09,한,수,,55,김성현,전흥기,440
97,부경,2009-01-09,한,수,,52,한상복,양국만,432
98,부경,2009-01-09,한,거,,53,최기홍,조영석,451
99,부경,2009-01-09,미,거,,54.5,유병복,김성수,496
100,부경,2009-01-09,한,거,,55,최기홍,이남일,395
101,부경,2009-01-09,한,거,,52,유충열,박수영,399
102,부경,2009-01-09,한,거,,56,김영관,남석우,510
103,부경,2009-01-09,한,거,,52.5,김영관,구영본,518
104,부경,2009-01-09,한,거,,54,조용배,김종화,447
105,부경,2009-01-09,미,거,,53,김영관,조옥희,454
106,부경,2009-01-09,미,거,,52,최기홍,조성운,441
107,부경,2009-01-09,호,거,,56,김영관,김상기,515
108,부경,2009-01-09,호,거,,54,장세한,이명희 ,466
109,부경,2009-01-09,일,거,,52.5,민장기,송달섭,468
110,부경,2009-01-09,한,암,,51,김창옥,김욱수,472
111,부경,2009-01-09,미,암,,51,오문식,이성기,426
112,부경,2009-01-09,미,암,,49,민장기,허도행,469
113,부경,2009-01-09,일,암,,53,김남중,구영본,463
114,부경,2009-01-11,한,암,,53,김재섭,김규성,459
115,부경,2009-01-11,한,암,,53,김영관,남석우,494
116,부경,2009-01-11,한,암,,51,양귀선,송재길,453
117,부경,2009-01-11,한,암,,53,윤주혁,이계옥,455
118,부경,2009-01-11,한,거,,56,고홍석,우만식,501
119,부경,2009-01-11,한,수,,53.5,유병복,김욱수,0
120,부경,2009-01-11,한,수,,51,김창옥,김원식,487
121,부경,2009-01-11,한,수,,54,임한,김원호,498
122,부경,2009-01-11,한,수,,54,유병복,범한산업,511
123,부경,2009-01-11,호,수,,55,김영관,김상기,497
124,부경,2009-01-11,미,수,,56,김재섭,송문관,474
125,부경,2009-01-11,한,수,,54,백광열,김욱수,479
126,부경,2009-01-11,한,수,,54,김병학,김진영b,443
127,부경,2009-01-11,한,수,,54,방동석,박광순,475
128,부경,2009-01-11,한,수,,54,장세한,이남일,412
