ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2005-01-07,미,암,,53,오문식,한국마사회,430
2,부경,2005-01-07,미,암,,50,백광열,한국마사회,429
3,부경,2005-01-07,미,암,,50,김영관,한국마사회,471
4,부경,2005-01-07,한,암,,50,유충열,한국마사회,434
5,부경,2005-01-07,한,암,,53,김길중,한국마사회,443
6,부경,2005-01-07,미,암,,50,윤주혁,한국마사회,498
7,부경,2005-01-07,미,암,,50,장세한,한국마사회,398
8,부경,2005-01-07,미,암,,53,조용배,한국마사회,413
9,부경,2005-01-07,일,암,,53,김병학,한국마사회,424
10,부경,2005-01-07,미,암,,53,오문식,한국마사회,419
11,부경,2005-01-07,미,암,,50,최기홍,한국마사회,482
12,부경,2005-01-07,호,수,,53,오문식,한국마사회,485
13,부경,2005-01-07,한,수,,51,김남중,한국마사회,479
14,부경,2005-01-07,미,수,,51,고홍석,한국마사회,437
15,부경,2005-01-07,미,수,,51,임금만,한국마사회,467
16,부경,2005-01-07,한,수,,51,강형곤,한국마사회,468
17,부경,2005-01-07,한,암,,50,윤주혁,한국마사회,428
18,부경,2005-01-07,미,암,,50,김창옥,한국마사회,463
19,부경,2005-01-07,미,암,,53,민장기,한국마사회,430
20,부경,2005-01-07,미,암,,53,조용배,한국마사회,485
21,부경,2005-01-07,미,암,,50,조용배,한국마사회,459
22,부경,2005-01-07,한,암,,50,김창옥,한국마사회,399
23,부경,2005-01-07,미,암,,52,한상복,한국마사회,461
24,부경,2005-01-07,한,수,,53,백광열,한국마사회,478
25,부경,2005-01-07,한,수,,51,강형곤,한국마사회,
26,부경,2005-01-07,미,수,,51,김상석,한국마사회,443
27,부경,2005-01-07,한,수,,51,김성현,한국마사회,436
28,부경,2005-01-07,미,수,,51,이정표,한국마사회,473
29,부경,2005-01-07,미,수,,54,강병은,한국마사회,451
30,부경,2005-01-07,한,수,,54,강병은,한국마사회,411
31,부경,2005-01-07,한,수,,54,김재섭,한국마사회,403
32,부경,2005-01-07,한,수,,54,오문식,한국마사회,455
33,부경,2005-01-07,호,수,,50,임금만,한국마사회,428
34,부경,2005-01-07,호,수,,50,최기홍,한국마사회,476
35,부경,2005-01-07,호,수,,50,임금만,한국마사회,431
36,부경,2005-01-07,미,수,,51,이정표,한국마사회,474
37,부경,2005-01-07,한,수,,51,유병복,한국마사회,426
38,부경,2005-01-07,뉴,수,,50,이정표,한국마사회,467
39,부경,2005-01-07,호,암,,50,김상석,한국마사회,415
40,부경,2005-01-07,뉴,암,,50,강형곤,한국마사회,453
41,부경,2005-01-07,뉴,암,,50,유병복,한국마사회,433
42,부경,2005-01-07,한,암,,50,유병복,한국마사회,419
43,부경,2005-01-07,한,암,,50,김남중,한국마사회,487
44,부경,2005-01-07,미,암,,50,김창옥,한국마사회,456
45,부경,2005-01-07,미,암,,50,장세한,한국마사회,416
46,부경,2005-01-07,한,암,,53,김재섭,한국마사회,424
47,부경,2005-01-07,미,암,,50,백광열,한국마사회,481
48,부경,2005-01-07,호,거,,50,조용배,한국마사회,436
49,부경,2005-01-07,미,거,,54,민장기,한국마사회,439
50,부경,2005-01-07,미,거,,51,김창옥,한국마사회,427
51,부경,2005-01-07,한,거,,51,강형곤,한국마사회,470
52,부경,2005-01-07,미,암,,50,김창옥,한국마사회,442
53,부경,2005-01-07,뉴,암,,53,김재섭,한국마사회,436
54,부경,2005-01-07,호,암,,50,김상석,한국마사회,415
55,부경,2005-01-07,호,암,,50,고홍석,한국마사회,454
56,부경,2005-01-07,호,암,,50,유충열,한국마사회,432
57,부경,2005-01-07,뉴,암,,52,한상복,한국마사회,447
58,부경,2005-01-07,미,암,,50,김상석,한국마사회,428
59,부경,2005-01-07,한,암,,51,김병학,한국마사회,512
60,부경,2005-01-07,한,암,,54,김병학,한국마사회,468
61,부경,2005-01-07,한,암,,51,장세한,한국마사회,465
62,부경,2005-01-07,한,암,,51,이정표,한국마사회,468
63,부경,2005-01-07,한,암,,51,양귀선,한국마사회,454
64,부경,2005-01-07,한,암,,51,유병복,한국마사회,419
65,부경,2005-01-07,한,수,,53,윤주혁,한국마사회,460
66,부경,2005-01-07,미,수,,51,김남중,한국마사회,451
67,부경,2005-01-07,호,수,,53,양귀선,한국마사회,486
68,부경,2005-01-07,호,수,,53,김병학,한국마사회,426
