ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2012-01-13,한,수,,52,김영관,유영상,521
2,부경,2012-01-13,한,수,,51,김길중,박정배,501
3,부경,2012-01-13,뉴,수,,57,백광열,박웅진,539
4,부경,2012-01-13,미,수,,51,김상석,최상희,515
5,부경,2012-01-13,호,수,,50,조머피,이갑섭,478
6,부경,2012-01-13,한,수,,55,유병복,현길림,490
7,부경,2012-01-13,한,수,,56,김상석,강종철,458
8,부경,2012-01-13,미,수,,57,임금만,이성영,510
9,부경,2012-01-13,호,수,,55,강형곤,이성민,478
10,부경,2012-01-13,한,수,,55,김병학,김용석,461
11,부경,2012-01-13,한,암,,54,최기홍,오헌봉,438
12,부경,2012-01-13,한,암,,54,조용배,송한우,437
13,부경,2012-01-13,호,수,,55,윤주혁,이계옥,491
14,부경,2012-01-13,한,수,,57,오문식,백영일,437
15,부경,2012-01-13,미,수,,55,강형곤,김원구,476
16,부경,2012-01-13,한,수,,55.5,김영관,유영상,475
17,부경,2012-01-13,한,수,,57,장세한,황윤하,473
18,부경,2012-01-13,호,거,,56,방동석,홍순해,470
19,부경,2012-01-13,미,거,,51,김길중,김용구,478
20,부경,2012-01-13,한,거,,57,최기홍,오헌봉,503
21,부경,2012-01-13,미,거,,55,조용배,김무현,474
22,부경,2012-01-13,미,거,,55,임금만,이성영,475
23,부경,2012-01-13,미,수,,50,임한,이시환,516
24,부경,2012-01-13,한,수,,50,하무선,최경환,443
25,부경,2012-01-13,미,거,,56,김영관,박광순,503
26,부경,2012-01-13,미,거,,54,한상복,박호익,482
27,부경,2012-01-13,한,수,,54,김상석,강종철,550
28,부경,2012-01-13,한,거,,58.5,울즐리,김흥보,446
29,부경,2012-01-13,미,거,,53,김병학,박봉환,535
30,부경,2012-01-13,뉴,거,,50,김창옥,현길림,481
31,부경,2012-01-13,미,거,,55,문제복,박은주,455
32,부경,2012-01-13,한,거,,56,하무선,박수영,472
33,부경,2012-01-13,한,거,,57,윤주혁,서귀포시축협,489
34,부경,2012-01-13,한,거,,57,고홍석,우만식,499
35,부경,2012-01-13,미,거,,55,유병복,유수태,487
36,부경,2012-01-13,뉴,거,,55,유충열,태영종합건설,491
37,부경,2012-01-13,미,거,,56,오문식,고임계,494
38,부경,2012-01-13,한,거,,55,양귀선,김용석,0
39,부경,2012-01-13,한,수,,51,백광열,이혜란,535
40,부경,2012-01-13,한,수,,55,유병복,이준걸,480
41,부경,2012-01-13,미,수,,54,백광열,이종훈,495
42,부경,2012-01-13,미,수,,54,임한,김기명,460
43,부경,2012-01-13,미,수,,54,민장기,이혜란,502
44,부경,2012-01-13,미,수,,54,유병복,범한산업,492
45,부경,2012-01-13,미,수,,54,하무선,김광원,516
46,부경,2012-01-13,한,수,,57,유병복,김성수,506
47,부경,2012-01-13,한,수,,57,김길중,강용익,484
48,부경,2012-01-13,한,수,,57,김남중,최병부,476
49,부경,2012-01-13,미,수,,55,방동석,조영자,523
50,부경,2012-01-13,미,수,,55,김길중,박평양,474
51,부경,2012-01-13,미,수,,55,조용배,양관석,475
52,부경,2012-01-13,뉴,수,,51,김상석,김장겸,492
53,부경,2012-01-13,뉴,수,,55,백광열,김준식,497
54,부경,2012-01-13,호,수,,55,강병은,이시환,476
55,부경,2012-01-13,한,암,,53,백광열,이종훈,481
56,부경,2012-01-13,한,암,,53,김남중,이성님,463
57,부경,2012-01-13,한,암,,53,김영관,박소이,485
58,부경,2012-01-13,한,암,,53,임동창,양호규,459
59,부경,2012-01-13,호,거,,55,울즐리,유수태,493
60,부경,2012-01-13,한,수,,54.5,백광열,박정배,465
61,부경,2012-01-13,한,수,,58,백광열,강훈표,502
62,부경,2012-01-13,미,수,,55,윤주혁,서귀포시축협,483
63,부경,2012-01-13,한,수,,54,임동창,이동좌,469
64,부경,2012-01-13,한,수,,54,한상복,이상현,484
65,부경,2012-01-13,한,수,,54,임금만,소명종합건설,514
66,부경,2012-01-13,한,수,,54,유병복,김영옥,491
67,부경,2012-01-13,미,수,,54,임동창,장철웅,482
68,부경,2012-01-13,미,수,,54,김병학,박봉환,542
69,부경,2012-01-13,미,수,,54,민장기,조성운,462
70,부경,2012-01-13,미,수,,54,방동석,김규성,523
71,부경,2012-01-13,미,수,,54,유충열,송학,512
72,부경,2012-01-13,미,수,,56,김재섭,고석주,493
73,부경,2012-01-13,호,수,,54,민장기,김욱수,513
74,부경,2012-01-13,한,수,,57.5,강병은,이원재,509
75,부경,2012-01-13,미,거,,52,윤주혁,이성영,488
76,부경,2012-01-13,한,거,,56,문제복,홍태수,470
77,부경,2012-01-13,한,거,,52,김길중,강용익,465
78,부경,2012-01-13,한,거,,57,이정표,이계옥,482
79,부경,2012-01-13,한,거,,55,김성현,박선희,446
80,부경,2012-01-13,한,암,,54,김재섭,김만식,0
81,부경,2012-01-13,한,암,,55,고홍석,인택주택건설,474
82,부경,2012-01-13,한,암,,51,백광열,강훈표,463
83,부경,2012-01-13,한,암,,54,최기홍,이남일,486
84,부경,2012-01-13,한,암,,56,고홍석,김갑수,492
85,부경,2012-01-13,호,암,,51,유충열,여홍현,440
86,부경,2012-01-13,미,암,,50,이정표,탐라유통,467
87,부경,2012-01-13,미,암,,54,김재섭,고경민,465
88,부경,2012-01-13,한,암,,57,김창옥,탐라유통,496
89,부경,2012-01-13,한,암,,57,최기홍,김원식,462
90,부경,2012-01-13,한,암,,53.5,오문식,유상호,450
91,부경,2012-01-13,한,암,,55,임금만,이성기,472
92,부경,2012-01-13,한,암,,53,민장기,김진영,465
93,부경,2012-01-13,한,암,,55,임금만,박정배,479
94,부경,2012-01-13,한,암,,55,울즐리,박선희,432
95,부경,2012-01-13,한,암,,53,문제복,홍태수,458
96,부경,2012-01-13,미,암,,50,장세한,안명준,452
97,부경,2012-01-13,호,암,,52,양귀선,송재길,469
98,부경,2012-01-13,미,암,,55,민장기,최순자,449
99,부경,2012-01-13,미,암,,53,강병은,김응수,502
