ID,RCTRCK,RACE_DE,PRDCTN_NATION_NM,SEX,AGE,BND_WT,TRNER,RCHOSE_OWNR_NM,RCHOSE_BDWGH
1,부경,2006-01-06,한,수,,56,강형곤,류종완,493
2,부경,2006-01-06,한,수,,58,백광열,최영근,468
3,부경,2006-01-06,한,수,,54,김상석,오영복,422
4,부경,2006-01-06,한,암,,52,김영관,박두만,412
5,부경,2006-01-06,한,암,,55,김병학,김진영b,373
6,부경,2006-01-06,호,암,,54,한상복,함관보,458
7,부경,2006-01-06,호,암,,50,김병학,김진영b,513
8,부경,2006-01-06,호,수,,56,김재섭,홍태수,460
9,부경,2006-01-06,호,수,,52,오문식,송달섭,478
10,부경,2006-01-06,호,수,,55,김상석,현구연,420
11,부경,2006-01-06,호,수,,52,백광열,박웅진,446
12,부경,2006-01-06,호,수,,55,임금만,김용부,471
13,부경,2006-01-06,호,수,,51,유병복,(주)넓은,450
14,부경,2006-01-06,한,수,,51,이정표,권준호,480
15,부경,2006-01-06,한,수,,54,김재섭,배성근,470
16,부경,2006-01-06,한,수,,50,김상석,전건영,455
17,부경,2006-01-06,한,수,,56,김창옥,인택주택건설,445
18,부경,2006-01-06,미,수,,52,유충열,이병일,440
19,부경,2006-01-06,미,수,,52,유병복,김태화,407
20,부경,2006-01-06,한,수,,55,조용배,이선혜,480
21,부경,2006-01-06,호,수,,54,김재섭,유상호,457
22,부경,2006-01-06,호,수,,50,임금만,김윤희,476
23,부경,2006-01-06,호,수,,55,민장기,최원호,462
24,부경,2006-01-06,호,수,,51,조용배,김봉경,466
25,부경,2006-01-06,미,수,,54,강병은,정명균,433
26,부경,2006-01-06,미,수,,52,김영관,태희종합건설,434
27,부경,2006-01-06,한,수,,53,최기홍,이유완,450
28,부경,2006-01-06,한,수,,52,양귀선,조용희,498
29,부경,2006-01-06,한,수,,52,강병은,김진영,433
30,부경,2006-01-06,미,수,,52,양귀선,서용철,419
31,부경,2006-01-06,미,수,,52,이정표,정태원,413
32,부경,2006-01-06,호,수,,51,오문식,고임계,445
33,부경,2006-01-06,한,수,,55,강형곤,김욱수,480
34,부경,2006-01-06,한,수,,55,유충열,김용석,483
35,부경,2006-01-06,호,거,,55,한상복,조옥희,478
36,부경,2006-01-06,한,거,,53,김병학,서용철,416
37,부경,2006-01-06,뉴,거,,51,양귀선,김용석,473
38,부경,2006-01-06,뉴,거,,55,윤주혁,임종아,491
39,부경,2006-01-06,한,거,,54,강형곤,김원구,468
40,부경,2006-01-06,한,거,,50,김창옥,이병일,415
41,부경,2006-01-06,뉴,거,,55,김남중,서한철,506
42,부경,2006-01-06,호,거,,53,김병학,서용철,493
43,부경,2006-01-06,한,거,,56,김재섭,씨큐리티코리아,466
44,부경,2006-01-06,한,수,,54,민장기,김준식,431
45,부경,2006-01-06,호,수,,55,김남중,한정협,500
46,부경,2006-01-06,한,수,,54,최기홍,이남일,460
47,부경,2006-01-06,한,수,,53,김재섭,송문관,461
48,부경,2006-01-06,호,수,,55,최기홍,김규성,438
49,부경,2006-01-06,미,수,,54,조용배,허도행,522
50,부경,2006-01-06,미,수,,54.5,조용배,홍순해,444
51,부경,2006-01-06,미,수,,54,김영관,태희종합건설,494
52,부경,2006-01-06,호,암,,53,김영관,김원호,395
53,부경,2006-01-06,호,암,,50,강병은,고원창,438
